TeamNumber,TeamName,TeamShortName,ImageFileName,TeamColor
1,Canada,CAN,1-CA.png,d52b1eff
2,Poland,POL,2-PL.png,dc134cff
3,Finland,FIN,3-FI.png,002f6cff
4,Denmark,DNK,4-DK.png,c8102eff
5,Brazil,BRA,5-BR.png,009b3aff
6,Germany,DEU,6-DE.png,ffce00ff
7,France,FRA,7-FR.png,002654ff
8,United Kingdom,GBR,8-GB.png,00247dff
9,Sweden,SWE,9-SE.png,00247dff
10,Norway,NOR,10-NO.png,ba0c2fff
11,Spain,ESP,11-ES.png,ffc400ff
12,Austria,AUT,12-AT.png,c8102eff
13,Turkey,TUR,13-TR.png,e30a17ff
14,USA,USA,14-US.png,3c3b6eff
15,Portugal,PRT,15-PT.png,006600ff
16,Argentina,ARG,16-AR.png,74acdfff
17,South Korea,KOR,17-KR.png,ddddddff
18,Japan,JPN,18-JP.png,ddddddff
19,Australia,AUS,19-AU.png,00008bff
20,China,CHN,20-CN.png,ee1c25ff
21,Croatia,HRV,21-HR.png,171796ff
22,Greece,GRC,22-GR.png,0d5eafff
23,Ukraine,UKR,23-UA.png,ffd700ff
24,Italy,ITA,24-IT.png,009246ff
25,Europe,EU,25-EU.png,003399ff
26,Switzerland,CHE,26-CH.png,da291cff
27,Saudi Arabia,SAU,27-SA.png,005430ff
28,South Africa,ZAF,28-ZA.png,000000ff
29,Morocco,MAR,29-MA.png,006233ff
30,Thailand,THA,30-TH.png,2d2a4aff
31,Israel,ISR,31-IL.png,0038b8ff
32,Jamaica,JAM,32-JM.png,000000ff
33,Cuba,CUB,33-CU.png,002a8fff
34,Uruguay,URY,34-UY.png,0038a8ff
35,Colombia,COL,35-CO.png,ffcd00ff
36,Congo,COD,36-CD.png,007fffff
37,India,IND,37-IN.png,2c2c6fff
38,Kenya,KEN,38-KE.png,000000ff
39,Wales,GB-WLS,39-GB-WLS.png,c8102eff
40,Czech Republic,CZE,40-CZ.png,11457eff
41,Scotland,GB-SCT,41-GB-SCT.png,005eb8ff
42,Kazakhstan,KAZ,42-KZ.png,00abc2ff
43,Ireland,IRL,43-IE.png,169b62ff
44,Algeria,DZA,44-DZ.png,006633ff
45,Romania,ROU,45-RO.png,fcd116ff
46,Angola,AGO,46-AO.png,000000ff
47,Bahamas,BHS,47-BS.png,00778bff
48,Greenland,GRL,48-GL.png,c8102eff
49,Olympics,IOC,49-IOC.png,ddddddff
50,Pirate,ARRR!,50-PIR.png,000000ff
